Skills,Education,Courses,Interests,Job
MERN Stack,Computer Science,Web Development,Development,Full Stack Developer
"Python, TensorFlow",Computer Science,Machine Learning,AI Research,AI/ML Engineer
"Java, Spring Boot",Software Engineering,Backend Development,Development,Backend Developer
"React, Redux",Software Engineering,Frontend Development,UI/UX,Frontend Developer
"Swift, iOS Development",Software Engineering,iOS App Development,Mobile Development,iOS Developer
"Kotlin, Android",Computer Science,Android Development,Mobile Development,Android Developer
"Golang, Microservices",Software Engineering,Microservices Architecture,Backend,Golang Developer
"SQL, Power BI",Data Science,Data Analytics,Data Analysis,Data Analyst
"Big Data, Hadoop",Data Science,Big Data Analytics,Data Science,Big Data Engineer
"Cloud Computing, AWS",Computer Science,Cloud Certifications,Cloud Tech,Cloud Engineer
"DevOps, Docker, Kubernetes",Computer Science,DevOps Certifications,Automation,DevOps Engineer
"Cybersecurity, Ethical Hacking",Cybersecurity,Network Security,Security,Cybersecurity Analyst
"Linux, Networking",Information Technology,Networking,System Administration,Network Administrator
"UI/UX Design, Figma",Design,UI/UX Courses,User Experience,UI/UX Designer
Digital Marketing,Business Administration,"SEO, Google Ads",Marketing,Digital Marketing Manager
"SAP, ERP",Business Administration,Enterprise Software,Business,SAP Consultant
"C++, Embedded Systems",Electronics Engineering,Embedded Systems,IoT,Embedded Systems Engineer
"Mechanical Design, CAD",Mechanical Engineering,Mechanical Design,Mechanical Design Engineer,
"Civil Engineering, AutoCAD",Civil Engineering,Structural Engineering,Infrastructure,Civil Engineer
"Electrical Engineering, MATLAB",Electrical Engineering,Circuit Design,Electronics,Electrical Engineer
"Finance, Investment Banking",Finance,Investment Analysis,Finance,Investment Banker
"Legal Research, Corporate Law",Law,Corporate Law,Legal Advisory,Corporate Lawyer
"Medical Imaging, AI",Medicine,Medical AI,Healthcare,Medical AI Specialist
Biotechnology Research,Biotechnology,Genetic Engineering,Biomedical Research,Biotech Researcher
"Game Development, Unity",Game Development,Game Design,Gaming,Game Developer
"Human Resources, Talent Acquisition",Human Resources,Recruitment Strategies,Recruitment,HR Manager
Sports Management,Sports Management,Sports Marketing,Sports,Sports Manager
"Music Production, Audio Engineering",Music Production,Music Mixing & Mastering,Music,Music Producer
MERN Stack,Computer Science,Web Development,Development,Full Stack Developer
"Python, TensorFlow",Computer Science,Machine Learning,AI Research,AI/ML Engineer
"Java, Spring Boot",Software Engineering,Backend Development,Development,Backend Developer
"React, Redux",Software Engineering,Frontend Development,UI/UX,Frontend Developer
"Swift, iOS Development",Software Engineering,iOS App Development,Mobile Development,iOS Developer
"Kotlin, Android",Computer Science,Android Development,Mobile Development,Android Developer
"Golang, Microservices",Software Engineering,Microservices Architecture,Backend,Golang Developer
"SQL, Power BI",Data Science,Data Analytics,Data Analysis,Data Analyst
"Big Data, Hadoop",Data Science,Big Data Analytics,Data Science,Big Data Engineer
"Cloud Computing, AWS",Computer Science,Cloud Certifications,Cloud Tech,Cloud Engineer
"DevOps, Docker, Kubernetes",Computer Science,DevOps Certifications,Automation,DevOps Engineer
"Cybersecurity, Ethical Hacking",Cybersecurity,Network Security,Security,Cybersecurity Analyst
"Linux, Networking",Information Technology,Networking,System Administration,Network Administrator
"UI/UX Design, Figma",Design,UI/UX Courses,User Experience,UI/UX Designer
Digital Marketing,Business Administration,"SEO, Google Ads",Marketing,Digital Marketing Manager
"SAP, ERP",Business Administration,Enterprise Software,Business,SAP Consultant
"C++, Embedded Systems",Electronics Engineering,Embedded Systems,IoT,Embedded Systems Engineer
"Mechanical Design, CAD",Mechanical Engineering,Mechanical Design,Mechanical Design Engineer,
"Civil Engineering, AutoCAD",Civil Engineering,Structural Engineering,Infrastructure,Civil Engineer
"Electrical Engineering, MATLAB",Electrical Engineering,Circuit Design,Electronics,Electrical Engineer
"Finance, Investment Banking",Finance,Investment Analysis,Finance,Investment Banker
"Legal Research, Corporate Law",Law,Corporate Law,Legal Advisory,Corporate Lawyer
"Medical Imaging, AI",Medicine,Medical AI,Healthcare,Medical AI Specialist
Biotechnology Research,Biotechnology,Genetic Engineering,Biomedical Research,Biotech Researcher
"Game Development, Unity",Game Development,Game Design,Gaming,Game Developer
"Human Resources, Talent Acquisition",Human Resources,Recruitment Strategies,Recruitment,HR Manager
Sports Management,Sports Management,Sports Marketing,Sports,Sports Manager
"Music Production, Audio Engineering",Music Production,Music Mixing & Mastering,Music,Music Producer
MERN Stack,Computer Science,Web Development,Development,Full Stack Developer
"Python, TensorFlow",Computer Science,Machine Learning,AI Research,AI/ML Engineer
"Java, Spring Boot",Software Engineering,Backend Development,Development,Backend Developer
"React, Redux",Software Engineering,Frontend Development,UI/UX,Frontend Developer
"Swift, iOS Development",Software Engineering,iOS App Development,Mobile Development,iOS Developer
"Kotlin, Android",Computer Science,Android Development,Mobile Development,Android Developer
"Golang, Microservices",Software Engineering,Microservices Architecture,Backend,Golang Developer
"SQL, Power BI",Data Science,Data Analytics,Data Analysis,Data Analyst
"Big Data, Hadoop",Data Science,Big Data Analytics,Data Science,Big Data Engineer
"Cloud Computing, AWS",Computer Science,Cloud Certifications,Cloud Tech,Cloud Engineer
"DevOps, Docker, Kubernetes",Computer Science,DevOps Certifications,Automation,DevOps Engineer
"Cybersecurity, Ethical Hacking",Cybersecurity,Network Security,Security,Cybersecurity Analyst
"Linux, Networking",Information Technology,Networking,System Administration,Network Administrator
"UI/UX Design, Figma",Design,UI/UX Courses,User Experience,UI/UX Designer
Digital Marketing,Business Administration,"SEO, Google Ads",Marketing,Digital Marketing Manager
"SAP, ERP",Business Administration,Enterprise Software,Business,SAP Consultant
"C++, Embedded Systems",Electronics Engineering,Embedded Systems,IoT,Embedded Systems Engineer
"Mechanical Design, CAD",Mechanical Engineering,Mechanical Design,Mechanical Design Engineer,
"Civil Engineering, AutoCAD",Civil Engineering,Structural Engineering,Infrastructure,Civil Engineer
"Electrical Engineering, MATLAB",Electrical Engineering,Circuit Design,Electronics,Electrical Engineer
"Finance, Investment Banking",Finance,Investment Analysis,Finance,Investment Banker
"Legal Research, Corporate Law",Law,Corporate Law,Legal Advisory,Corporate Lawyer
"Medical Imaging, AI",Medicine,Medical AI,Healthcare,Medical AI Specialist
Biotechnology Research,Biotechnology,Genetic Engineering,Biomedical Research,Biotech Researcher
